POS,PLAYER,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
123,MoeenAli,16.5,3,1,8,1,0,1,0
124,MahipalLomror,15.5,3,0,0,2,3,0,0
125,PravinDubey,14.5,3,0,12,0,0,1,0
126,YashasviJaiswal,14.5,3,0,0,2,2,1,0
127,UmeshYadav,14,2,0,14,0,0,0,0
128,SiddarthKaul,13,1,2,6,0,0,0,0
129,MujeebUr Rahman,12,2,0,12,0,0,0,0
130,AndrewTye,12,1,1,5,0,1,0,0
131,MohitSharma,10.5,1,1,7,0,0,0,0
132,NarayanJagadeesan,10,5,0,0,4,0,0,0
133,MuraliVijay,10,3,0,0,4,0,0,0
134,MohammadNabi,10,1,0,5,2,0,0,0
135,AlexCarey,8.5,3,0,0,0,1,2,0
136,BasilThampi,8.5,1,1,5,0,0,0,0
137,SandeepWarrier,8,1,0,8,0,0,0,0
138,KarunNair,7.5,4,0,0,2,0,1,0
139,SimranSingh,7.5,2,0,0,2,0,1,0
140,AveshKhan,7,1,0,7,0,0,0,0
141,HarpreetBrar,6,1,0,6,0,0,0,0
142,ChrisGreen,6,1,0,6,0,0,0,0
143,TomBanton,6,2,0,0,1,1,0,0
144,DhawalKulkarni,6,1,0,6,0,0,0,0
145,RinkuSingh,5,1,0,0,1,0,1,0
146,MonuKumar,4,1,0,4,0,0,0,0
147,IshantSharma,4,1,0,4,0,0,0,0
148,NikhilNaik,2.5,1,0,0,0,0,1,0
149,ShreevatsGoswami,2.5,2,0,0,0,0,1,0
150,MitchellMarsh,1,1,0,1,0,0,0,0
151,DavidMiller,0,1,0,0,0,0,0,0
