POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,Dots,Avg,Econ,SR,4w,5w
1,JofraArcher,14,14,55.4,365,20,175,18.25,6.55,16.70,0,0
2,JaspritBumrah,15,15,60,404,27,175,14.96,6.73,13.33,2,0
3,RashidKhan,16,16,64,344,20,168,17.20,5.37,19.20,0,0
4,AnrichNortje,16,16,61,512,22,160,23.27,8.39,16.63,0,0
5,TrentBoult,15,15,57.2,457,25,157,18.28,7.97,13.76,1,0
6,KagisoRabada,17,17,65.4,548,30,156,18.26,8.34,13.13,2,0
7,PatCummins,14,14,52,409,12,140,34.08,7.86,26.00,1,0
8,MohammadShami,14,14,53.4,460,20,140,23.00,8.57,16.10,0,0
9,TNatarajan,16,16,62.5,504,16,136,31.50,8.02,23.56,0,0
10,RaviBishnoi,14,14,51,376,12,122,31.33,7.37,25.50,0,0
11,SandeepSharma,13,13,52,374,14,119,26.71,7.19,22.28,0,0
12,YuzvendraChahal,15,15,57.1,405,21,118,19.28,7.08,16.33,0,0
13,DeepakChahar,14,14,52,396,12,118,33.00,7.61,26.00,0,0
14,NavdeepSaini,13,13,45.4,379,6,116,63.16,8.29,45.66,0,0
15,WashingtonSundar,15,15,50,298,8,114,37.25,5.96,37.50,0,0
16,VarunChakravarthy,13,13,52,356,17,111,20.94,6.84,18.35,0,1
17,RahulChahar,15,15,53,433,15,104,28.86,8.16,21.20,0,0
18,RavichandranAshwin,15,15,51,391,13,101,30.07,7.66,23.53,0,0
19,AxarPatel,15,15,51,327,9,100,36.33,6.41,34.00,0,0
20,KrunalPandya,16,16,50.1,380,6,100,63.33,7.57,50.16,0,0
21,RahulTewatia,14,14,46,326,10,95,32.60,7.08,27.60,0,0
22,ChrisMorris,9,9,31.4,210,11,91,19.09,6.63,17.27,1,0
23,SamCurran,14,13,42,344,13,91,26.46,8.19,19.38,0,0
24,ShreyasGopal,14,14,50,427,10,86,42.70,8.54,30.00,0,0
25,KartikTyagi,10,10,38.1,367,9,83,40.77,9.61,25.44,0,0
26,JamesPattinson,10,10,35.3,320,11,78,29.09,9.01,19.36,0,0
27,MohammedSiraj,9,9,27.1,236,11,77,21.45,8.68,14.81,0,0
28,MuruganAshwin,9,9,31.3,235,10,70,23.50,7.46,18.90,0,0
29,NathanCoulter-Nile,7,7,26,206,5,69,41.20,7.92,31.20,0,0
30,ShardulThakur,9,9,32.2,275,10,68,27.50,8.50,19.40,0,0
31,SunilNarine,10,10,38,302,5,67,60.40,7.94,45.60,0,0
32,ShivamMavi,8,8,26,212,9,63,23.55,8.15,17.33,0,0
33,KhaleelAhmed,7,7,25.4,242,8,62,30.25,9.42,19.25,0,0
34,ChrisJordan,9,9,31.3,304,9,62,33.77,9.65,21.00,0,0
35,SheldonCottrell,6,6,20,176,6,59,29.33,8.80,20.00,0,0
36,JasonHolder,7,7,28,233,14,58,16.64,8.32,12.00,0,0
37,RavindraJadeja,14,13,36.2,318,6,56,53.00,8.75,36.33,0,0
38,ArshdeepSingh,8,8,24.5,218,9,56,24.22,8.77,16.55,0,0
39,MarcusStoinis,17,13,29.4,283,13,50,21.76,9.53,13.69,0,0
40,IsuruUdana,10,10,29,282,8,49,35.25,9.72,21.75,0,0
41,LockieFerguson,5,5,19.5,148,6,48,24.66,7.46,19.83,0,0
42,KamleshNagarkoti,10,9,26,231,5,46,46.20,8.88,31.20,0,0
43,BhuvneshwarKumar,4,4,14.1,99,3,40,33.00,6.98,28.33,0,0
44,AndreRussell,10,7,18,175,6,39,29.16,9.72,18.00,0,0
45,GlennMaxwell,13,7,21,169,3,37,56.33,8.04,42.00,0,0
46,PiyushChawla,7,7,21,191,6,37,31.83,9.09,21.00,0,0
47,DwayneBravo,6,6,21,180,6,35,30.00,8.57,21.00,0,0
48,PrasidhKrishna,6,6,17.3,164,4,35,41.00,9.37,26.25,0,0
49,JaydevUnadkat,7,7,23,228,4,35,57.00,9.91,34.50,0,0
50,LungiNgidi,4,4,16,167,9,35,18.55,10.43,10.66,0,0
51,AnkitRajpoot,6,6,17,199,2,34,99.50,11.70,51.00,0,0
52,KieronPollard,16,11,21,190,4,33,47.50,9.04,31.50,0,0
53,VijayShankar,7,5,13.1,82,4,31,20.50,6.22,19.75,0,0
54,JoshHazlewood,3,3,10,64,1,31,64.00,6.40,60.00,0,0
55,ShahbazNadeem,7,7,22,178,5,31,35.60,8.09,26.40,0,0
56,TusharDeshpande,5,5,17,192,3,29,64.00,11.29,34.00,0,0
57,KarnSharma,5,5,19,165,5,27,33.00,8.68,22.80,0,0
58,JimmyNeesham,5,5,15,148,2,26,74.00,9.86,45.00,0,0
59,TomCurran,5,5,18.1,208,3,25,69.33,11.44,36.33,0,0
60,BenStokes,8,6,15,154,2,24,77.00,10.26,45.00,0,0
61,DaleSteyn,3,3,11.4,133,1,24,133.00,11.40,70.00,0,0
62,HarshalPatel,5,5,15,134,3,23,44.66,8.93,30.00,0,0
63,DanielSams,3,3,12,114,0,22,-,9.50,-,0,0
64,VarunAaron,3,3,8,94,0,21,-,11.75,-,0,0
