POS,PLAYER,Against,Venue,Match Date,BF,6s,4s,Runs
1,MayankAgarwal,RR,Sharjah Cricket Stadium,27 September 2020,45,7,10,106
2,ShikharDhawan,KXIP,Dubai International Cricket Stadium,20 October 2020,57,3,12,106
3,ShikharDhawan,CSK,Sharjah Cricket Stadium,17 October 2020,57,1,14,101
4,BenStokes,MI,Zayed Cricket Stadium,25 October 2020,59,3,14,107
5,KLRahul,RCB,Dubai International Cricket Stadium,24 September 2020,62,7,14,132
