POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,ShikharDhawan,17,17,3,618,106*,44.14,427,144.73,2,4,67,12
2,KLRahul,14,14,2,670,132*,55.83,518,129.34,1,5,58,23
3,MayankAgarwal,11,11,0,424,106,38.54,271,156.45,1,2,44,15
4,BenStokes,8,8,1,285,107*,40.71,200,142.50,1,1,36,7
