POS,PLAYER,Runs,BF,4s,6s,SR,Against,Venue,Match Date
77,IshanKishan,72,47,8,3,153.19,DC,Dubai International Cricket Stadium,31 October 2020
78,RohitSharma,35,23,2,3,152.17,RR,Zayed Cricket Stadium,06 October 2020
79,KLRahul,77,51,7,3,150.98,MI,Dubai International Cricket Stadium,18 October 2020
80,TomCurran,54,36,2,3,150.00,KKR,Dubai International Cricket Stadium,30 September 2020
81,AmbatiRayudu,71,48,6,3,147.91,MI,Zayed Cricket Stadium,19 September 2020
82,Quintonde Kock,53,36,4,3,147.22,DC,Zayed Cricket Stadium,11 October 2020
83,MarcusStoinis,65,46,6,3,141.30,MI,Dubai International Cricket Stadium,05 November 2020
84,RuturajGaikwad,65,51,4,3,127.45,RCB,Dubai International Cricket Stadium,25 October 2020
85,AxarPatel,42,33,2,3,127.27,MI,Dubai International Cricket Stadium,05 November 2020
86,Quintonde Kock,53,43,3,3,123.25,KXIP,Dubai International Cricket Stadium,18 October 2020
87,ManishPandey,54,44,2,3,122.72,RR,Dubai International Cricket Stadium,11 October 2020
88,ShreyasIyer,39,32,0,3,121.87,KXIP,Dubai International Cricket Stadium,20 September 2020
89,MahipalLomror,47,39,1,3,120.51,RCB,Zayed Cricket Stadium,03 October 2020
90,ShaneWatson,42,38,1,3,110.52,SRH,Dubai International Cricket Stadium,13 October 2020
91,KrunalPandya,20,4,2,2,500.00,SRH,Sharjah Cricket Stadium,04 October 2020
92,JofraArcher,13,3,0,2,433.33,KXIP,Sharjah Cricket Stadium,27 September 2020
93,SamCurran,18,6,1,2,300.00,MI,Zayed Cricket Stadium,19 September 2020
94,SamCurran,15,5,0,2,300.00,SRH,Dubai International Cricket Stadium,02 October 2020
95,SamCurran,17,6,1,2,283.33,RR,Sharjah Cricket Stadium,22 September 2020
96,HardikPandya,30,11,3,2,272.72,KXIP,Zayed Cricket Stadium,01 October 2020
97,ChrisGayle,29,13,3,2,223.07,DC,Dubai International Cricket Stadium,20 October 2020
98,AbdulSamad,20,9,1,2,222.22,MI,Sharjah Cricket Stadium,04 October 2020
99,DineshKarthik,29,14,2,2,207.14,SRH,Zayed Cricket Stadium,18 October 2020
100,AbdulSamad,33,16,2,2,206.25,DC,Zayed Cricket Stadium,08 November 2020
