POS,PLAYER,Runs,BF,4s,6s,SR,Against,Venue,Match Date
70,Quintonde Kock,15,5,1,1,300.00,SRH,Sharjah Cricket Stadium,04 October 2020
71,DineshKarthik,15,4,2,1,375.00,KXIP,Zayed Cricket Stadium,10 October 2020
72,ShimronHetmyer,15,5,0,2,300.00,SRH,Zayed Cricket Stadium,29 September 2020
73,MarcusStoinis,15,6,2,1,250.00,RCB,Dubai International Cricket Stadium,05 October 2020
74,RavindraJadeja,15,6,3,0,250.00,SRH,Dubai International Cricket Stadium,02 October 2020
75,SteveSmith,15,6,3,0,250.00,RCB,Dubai International Cricket Stadium,17 October 2020
76,ABde Villiers,15,6,1,1,250.00,KKR,Sharjah Cricket Stadium,12 October 2020
77,Quintonde Kock,15,5,3,0,300.00,CSK,Zayed Cricket Stadium,19 September 2020
78,HardikPandya,15,5,2,1,300.00,KKR,Zayed Cricket Stadium,23 September 2020
79,KieronPollard,15,4,0,2,375.00,RCB,Dubai International Cricket Stadium,28 September 2020
80,AbdulSamad,15,4,2,1,375.00,DC,Zayed Cricket Stadium,08 November 2020
81,RiyanParag,15,5,2,1,300.00,SRH,Dubai International Cricket Stadium,22 October 2020
82,DeepakHooda,15,5,0,2,300.00,CSK,Zayed Cricket Stadium,01 November 2020
83,Quintonde Kock,15,6,3,0,250.00,DC,Dubai International Cricket Stadium,05 November 2020
84,KaneWilliamson,15,4,0,2,375.00,RR,Dubai International Cricket Stadium,11 October 2020
85,AxarPatel,15,6,2,1,250.00,RR,Sharjah Cricket Stadium,09 October 2020
86,PatCummins,15,5,2,1,300.00,MI,Zayed Cricket Stadium,16 October 2020
87,MayankAgarwal,15,4,0,2,375.00,RR,Sharjah Cricket Stadium,27 September 2020
88,AndreRussell,15,5,0,2,300.00,RR,Dubai International Cricket Stadium,30 September 2020
89,ViratKohli,15,5,3,0,300.00,RR,Zayed Cricket Stadium,03 October 2020
90,BenStokes,15,6,2,0,250.00,MI,Zayed Cricket Stadium,25 October 2020
91,SteveSmith,15,5,3,0,300.00,KXIP,Zayed Cricket Stadium,30 October 2020
92,Quintonde Kock,15,4,2,1,375.00,KKR,Zayed Cricket Stadium,16 October 2020
93,SaurabhTiwary,15,4,2,1,375.00,RR,Zayed Cricket Stadium,25 October 2020
94,RahulTewatia,14,5,1,1,280.00,RCB,Dubai International Cricket Stadium,17 October 2020
95,ABde Villiers,14,5,1,1,280.00,KKR,Sharjah Cricket Stadium,12 October 2020
96,DavidWarner,14,5,3,0,280.00,KKR,Zayed Cricket Stadium,18 October 2020
97,ManishPandey,14,5,2,1,280.00,DC,Dubai International Cricket Stadium,27 October 2020
98,Fafdu Plessis,14,4,0,2,350.00,RR,Sharjah Cricket Stadium,22 September 2020
99,DineshKarthik,14,6,3,0,233.33,KXIP,Zayed Cricket Stadium,10 October 2020
100,Quintonde Kock,14,6,2,1,233.33,DC,Dubai International Cricket Stadium,10 November 2020
